Year,Police Service,City,Province,Civilian Consequences,Investigation Final Decision,Link
,Lac Seul Police Service,Sioux Lookout,Ontario,"The report further noted that “Methamphetamine and Amphetamine toxicity,” was a significant condition contributing to the death but not causally related to the immediate cause of death",,https://www.siu.on.ca/en/directors_report_details.php?drid=751
,Peel Regional Police,Brampton,Ontario,n r\n Notwithstanding significant dispute in the evidence as to what occurred around the time of the Complainant’s arrest I am satisfied that the record is sufficient to dispose of the criminal liability issues At about 6:40 p.m on November 17 2019 WO 1 operating a marked cruiser was following a stolen black Honda Civic A plan soon took shape in which with the assistance of other cruisers in the vicinity officers would attempt a rolling block of the Honda With their emergency lights activated WO 1 and other cruisers pursued the Honda north on Main Street toward its intersection with Queen Street At the same time WO 2 traveling south on Main Street brought his cruiser to a stop ahead of a civilian vehicle – a Mazda sedan – facing a red light in the southbound passing lane As the Honda moved into the southbound lanes traveling north looking to get around vehicular traffic that had stopped in front of it it placed itself on a collision course with WO 2’s cruiser The officer reacted by maneuvering his cruiser to the left to avoid a collision The Honda continued past WO 2’s cruiser and came upon the SO’s cruiser which had arrived at the intersection traveling south in the northbound lanes of traffic As the vehicles neared the SO veered into the path of the Honda and the vehicles collided around the same time as the Honda crashed head-on with the Mazda Following the collision the SO approached the front passenger door of the Honda and made demands for the Complainant to exit The Complainant failed to do so in a timely fashion Precisely what happened next is a matter of controversy Some evidence suggests that the Complainant was punched in the nose by an officer breaking it in the process before the Complainant was forcibly pulled from the vehicle taken to the ground and subjected to another punch and a CEW discharge before the Complainant’s hands were handcuffed WO 2 who says he was present with the SO until the Complainant was extricated from the Honda says that neither he nor the SO struck the Complainant in the car.\n,,https://www.siu.on.ca/en/directors_report_details.php?drid=833
,Niagara Regional Police Service,Niagara,Ontario,The Complainant was transported to hospital where he was assessed as having a fracture to the orbital bone of his right eye,,https://www.siu.on.ca/en/directors_report_details.php?drid=763
,Toronto Police Service,Toronto,Ontario,From the police station the Complainant was taken to hospital in an ambulance where his fractured clavicle was diagnosed,,https://www.siu.on.ca/en/directors_report_details.php?drid=851
,,Durham,Ontario,The Complainant was brought back to hospital and treated for several dog bite wounds on his left leg,,https://www.siu.on.ca/en/directors_report_details.php?drid=805
,Ontario Provincial Police,Stone Mills,Ontario,xa0 r\n\xa0 nCause of Death nThe post-mortem examination determined that the cause of the Complainant’s death was “gunshot wound of torso,"Whether considered pursuant to the frameworks set out in section 25(3) or 34 of theCriminal Code, the first setting out the test for legal justification in the case of lethal force used in the execution of a police officer’s duty, the other outlining the parameters of force that is excusable in defence of oneself or another, I am satisfied on reasonable grounds that theSO’s conduct did not run afoul of the limits prescribed by the criminal law.  The Complainant, with a potentially lethal weapon in hand, chose to run at theSO.  TheSO, on the other hand, continually moved back and away from the Complainant, initially getting out of the ditch and onto the roadway and then, when the Complainant continued to advance on theSO, moving behind his police cruiser for cover.  Throughout the Complainant’s advance on theSO, theSOcontinually directed the Complainant to stop and drop his weapon.  Finally, when theSOhad no place else to go, he discharged his firearm at the advancing Complainant.  One or both of the first volley of two shots struck the Complainant but failed to incapacitate him.  He kept moving toward the officer wielding the bat in a threatening fashion as the officer let off a second volley of gunfire consisting of six shots.TheSO, in his interview withSIUinvestigators, indicated that he fired his weapon fearing for his life and that he acted pursuant to his training when dealing with an armed attacker.On the aforementioned record, I accept that theSOgenuinely and reasonably believed that shooting the Complainant was necessary to protect himself from loss of life or grievous bodily harm. The officer was confronted by an individual threatening him with a dangerous weapon at close range.  While the officer continually retreated from the Complainant, and attempted to take cover behind his police vehicle, when the Complainant continued to advance on him, he left theSOwith no other options for a safe retreat.  TheSOfound himself alone, without backup, and facing an armed attacker with no recourse for further retreat. By the time the Complainant had moved around the police cruiser to the side where theSOhad sought refuge, the Complainant was placing himself within striking range of theSO, who then decided to discharge his weapon.  TheSOhad a difficult decision to make and split seconds in which to make it.  In the circumstances, I am satisfied on reasonable grounds that theSOwas within his rights in choosing to fire his firearm at the Complainant.It should be noted that theSOwas in possession of aCEWat the time, raising the question of its potential use to neutralize the threat posed by the Complainant.  By the time the Complainant emerged from his vehicle wielding a bat menacingly at theSO, the threat confronting the officer had instantly become potentially lethal in nature.  Moreover, theSOdid not have the benefit of a partner with him, in which scenario one or the other officer could have drawn theirCEWwhile the other unholstered their firearm.  In the circumstances, I am unable to fault theSOfor not first resorting to hisCEWgiven the threat level and the speed with which events unfolded.  Nor do I believe that the number of shots fired by theSOmakes any difference in the liability analysis.  While the Complainant appears to have been struck by one or more of the first two shots, he was not felled by either of them and continued to advance toward the officer bat in hand.  With respect to the second volley of six shots, I am unable to infer any material difference in the threat level theSOwould have reasonably apprehended across shots three through eight given the rapid succession of the gunfire and the volatility of the situation.  In arriving at this conclusion, I have in mind the common law principle that officers caught up in violent encounters are not expected to measure their countervailing force with precision; what is required is a reasonable response, not an exacting one:R. v. Nasogaluak, [2010] 1 SCR 206;R. v. Baxter(1975), 27 CCC (2d) 96 (Ont. C.A.).Date:	April 27, 2020Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=735
,Peel Regional Police,Brampton,Ontario,The Complainant was taken from the scene to hospital and diagnosed with head injuries including skull fractures,,https://www.siu.on.ca/en/directors_report_details.php?drid=865
,Toronto Police Service,Toronto,Ontario,They removed two CEW probes from SO 1’s left leg and took the Complainant to hospital where he was diagnosed with a broken nose and rhabdomyolysis,"Pursuant to section 25(1) of theCriminal Code, police officers are immune from criminal liability for force used in the course of their duties provided such force was reasonably necessary in the execution of an act that they were authorized or required to do by law.SO#1 andSO#2 were clearly acting within their rights when they engaged the Complainant physically to take him into custody.  Given what they knew of what had occurred betweenCW#2 and the Complainant, the Complainant was subject to lawful arrest for a number of offences, including assault.  The issue turns to the propriety of the force used bySO#1 andSO#2 when the Complainant reacted violently to his pending arrest.It is a principle of the common law that police officers embroiled in violent confrontations need not measure their use of responsive force with precision; what is required is a reasonable response, not an exacting one:R. v. Nasogaluak, [2010] 1 SCR 206;R. v. Baxter(1975), 27 CCC (2d) 96.  I am unable to reasonably conclude thatSO#1 andSO#2 ran afoul of the latitude prescribed by the criminal law in their dealings with the Complainant.  The Complainant proved a formidable challenge as the officers attempted to overcome his resistance.  Over the course of several minutes, he managed to keep both officers and two security members at bay as they wrestled with him to gain control of his hands and counter his aggression.  In the course of that struggle, the Complainant threw punches at the officers and flailed his arms and legs, at one point kickingSO#2 in the face, at another, dispossessingSO#1 of hisCEWand deploying it against the officer.  On the aforementioned record, I am not persuaded that the force used by the officers as they grappled with the Complainant to overcome his resistance, andSO#1 shocked him with hisCEWin drive-stun mode, exceeded the bounds of what was reasonably necessary in the circumstances to effect the Complainant’s arrest.  In arriving at this conclusion, it should further be noted that there was no direct evidence to indicate that either subject officer struck the Complainant during the confrontation, nor was there any evidence of any force being used against the Complainant after he was handcuffed.While I accept that the Complainant broke his nose in the course of his arrest, there is a possibility raised in the evidence that it was one of the security officers who caused the injury.  Moreover, there is some evidence suggesting that theCEWthat was used against the Complainant caused or contributed to the onset of rhabdomyolysis in the Complainant.  Be that as it may, as I have no reasonable grounds to believe thatSO#1 andSO#2 acted other than lawfully throughout their interaction with the Complainant, there is no basis for criminal charges against either officer, and the file is closed.Date:	April 27, 2020Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=733
,Hamilton Police Service,Brantford,Ontario,r\n\nCause of Death nA post-mortem examination performed on the Complainant’s body on November 11 2019 determined the cause of death to have been a contact perforating through-and-through gunshot wound to the head,"Whether the Complainant had intended to take his own life prior to the arrival of police, or whether he decided to do so only after he became aware of the presence of police, is unknown. What is clear, however, is that no police officer was in his room at the time of the shooting, nor did any police officer discharge a firearm at any time.While the impetus for the Complainant’s taking his own life may well have been the fact that he had been discovered by police, that does not weigh against the involved police officers, who were clearly carrying out their lawful duties in attending and potentially arresting an alleged double-murderer. It was the Complainant himself, acting of his own accord, who chose to end his life rather than to face the police. It appears, on all of the evidence, that theWOand the members of theWO’s team acted with prudence and exercised all due care and caution in not entering the Complainant’s room until all members of the public had been removed from harm’s way, and only then, after the tactical robot had established that the Complainant did not pose a threat to the police officers present, entering the Complainant’s room.On this record, I am unable to reasonably conclude that theWO, or any member of theWO’s team, caused or contributed to the Complainant’s death by any want of care. Accordingly, there are no reasonable grounds for proceeding with criminal charges in this case. The file is closed.Date:	April 20, 2020Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=715
,Toronto Police Service,Grey,Ontario,Following the Complainant’s arrest he was taken to the station and then to hospital where his broken hip was diagnosed,,https://www.siu.on.ca/en/directors_report_details.php?drid=741
,Windsor Police Service,Grey,Ontario,n r\n The material events in question are apparent on the evidence collected by the SIU which included interviews with the Complainant and a civilian and police witnesses who were present at the time of the arrest The investigation also benefited from a review of CCTV footage of parts of the incident captured by a security camera As was their legal right the subject officers declined to interview with the SIU or authorize the release of their notes In the afternoon of October 29 2019 the Complainant was operating a reportedly stolen SUV with two passengers and the vehicle was under surveillance by officers with the WPS TBU When the Complainant parked the SUV in the parking lot of the Home Depot at 6630 Tecumseh Road East a plan was developed to take the vehicle’s occupants into custody With the assistance of WPS ESU\xa0members the SUV would be boxed-in by police vehicles to prevent its escape while officers approached to effect the arrests At about 2:40 p.m SO 1 parked his unmarked sedan directly behind the SUV as WO 3 and WO 4 positioned their vehicles in front of the SUV at angles with the driver and passenger side At the sight of the officers – six in total – approaching the SUV the Complainant put the vehicle in motion in an attempt to escape He maneuvered the SUV back and forth several times striking police vehicles behind and in front of him as officers yelled at him to stop and show his hands SO 1 managed to break the driver’s door window and reached in through the shattered glass to engage the Complainant delivering a number of punches to the Complainant’s head The Complainant released his hold of the steering wheel following the strikes whereupon he was removed from the vehicle and handcuffed One passenger was also removed from the vehicle and arrested as was the other who was in the Home Depot at the time of the takedown.\n,,https://www.siu.on.ca/en/directors_report_details.php?drid=723
,Toronto Police Service,Toronto,Ontario,The Complainant was later treated at hospital for gunshot wounds to his right shoulder blade his right forearm and his left thigh,"The only evidence contradicting that outlined above indicates theSOapproached the passenger side of the Complainant’s vehicle and pointed a firearm at him. The Complainant told theSOnot to shoot him.  At that very moment, the drive-thru attendant directed the Complainant through the speaker at the menu board, to drive forward, as a result of which he did.  There was a gunshot and the Complainant immediately stopped his vehicle. He had been struck by a bullet. This evidence also indicates the Complainant did not have a firearm with him at the time of this incident.This evidence is implausible in respects and materially inconsistent with the reliable evidence gathered in this matter bySIUinvestigators, and I am therefore unable to accept this version of events.  For example, it is the dubious that the Complainant would drive forward because he was directed to do so by the Tim Hortons’ employee, despite a fully uniformed police officer pointing a firearm at him and yelling at him to get out of the car.  As is the indication that the Complainant did not have a firearm with him, which is contradicted not only by the presence of the firearm in the driver’s side footwell, but also by the evidence ofCW#3, the 911 caller, who observed the Complainant get out of the white Infinity and point a firearm at him.  Moreover, the suggestion the Complainant brought his vehicle to a stop when there was a gunshot is contradicted both by theCCTVfootage and by the fact that he was observed to come to a stop only when he collided with the cement post.Whether considered pursuant to the frameworks set out in section 25(3) or 34 of theCriminal Code, the first setting out the test for legal justification in the case of lethal force used in the execution of a police officer’s duty, the other outlining the parameters of force that is excusable in defence of oneself or another, I am satisfied on reasonable grounds that the conduct of theSOdid not run afoul of the limits prescribed by the criminal law.  TheSOwas acting pursuant to his duties when, following a 911 call received by the communication centre, and being aware that the driver of a white Infinity had pulled a firearm against another motorist in what was described as a ‘road rage’ incident, he carried out an investigation when he came upon the described vehicle in the area where the reported incident had occurred.  It is clear that when theSOandWO#5 exited their police vehicle and approached the white Infinity with their firearms drawn, they were acting in the course of their duties in that they were investigating the 911 caller’s complaint. Additionally, as the information received indicated that the driver of the Infinity was in possession of a firearm which he had already pointed at another civilian, it would have been imprudent and dangerous forSOandWO#5 to approach the Infinity without their weapons at the ready.In theSO’s interview withSIUinvestigators, he indicated that when the Complainant reached for a firearm and raised it in a firing position, theSOfeared for his own life, as well as that ofWO#5 and the employees of the Tim Hortons.  I accept that theSO, when faced with a man holding a firearm raised in his direction, genuinely and reasonably believed that shooting the Complainant was necessary to protect both himself, and those around him, from loss of life or grievous bodily harm.I do not accept that theSOonly discharged his firearm after the Complainant began to drive away from him, but rather, as supported by the reliable evidence, that theSOdischarged his firearm when the Complainant raised his firearm in the officer’s direction.   I draw no negative inference from the fact that theSOcontinued to discharge his weapon when the Complainant simultaneously began to drive forward.  As the shots appear to have occurred in quick succession, I am unable to meaningfully infer any material difference in the threat level that theSOwould have reasonably apprehended in such a volatile and highly-charged situation.  In arriving at this conclusion, I am mindful that the law does not require perfection of officers confronted with having to make split-second decisions in dangerous situations; what is required is a reasonable response, not an exacting one:R v Nasogaluak, [2010] 1 SCR 206;R v Baxter(1975), 27 CCC (2d) 96 (Ont. CA).On this record, I am unable to reasonably conclude that theSO, while under a legitimate apprehension that discharging his firearm was necessary to protect his own life, and those around him, from a lethal threat, acted unreasonably in so doing notwithstanding the significant injuries incurred by the Complainant.  As such, as there is no basis to form reasonable grounds to believe that a criminal offence has been committed by theSO, no charges will issue and this file is close.Date:	March 30, 2020Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=679
,Toronto Police Service,Dufferin,Ontario,n r\n The material events in question are apparent on the evidence collected by the SIU which included statements from the Complainants and two independent civilian eyewitnesses As was his right the SO as the subject of the investigation declined to be interviewed or authorize the release of his notes The investigation also benefitted from a review of a video recording of the pursuit captured by the SO’s ICC and GPS/AVL data associated with his cruiser At about 4:40 a.m on October 15 2019 the SO while on patrol in his cruiser observed an SUV traveling through an amber light at the intersection of Highway 7 and Rivermede Road He followed the SUV as it turned right onto southbound Dufferin Street from Centre Street and activated his emergency lights and siren intending to stop it The SUV briefly pulled over to the curb lane and stopped but then accelerated away south on Dufferin Street The SO accelerated as well after the SUV He hit a top speed of about 110 km/h briefly before slowing his cruiser down deactivating his lights and siren and terminating the pursuit In total the officer had pursued the SUV for no more than 45 seconds and 500 metres The SUV continued at high speed south on Dufferin Street entered the Finch Avenue intersection and struck a gas tanker turning left in front of it to proceed west on Finch Avenue Following the initial collision the SUV careened into the front of a GO bus that was waiting to turn right onto eastbound Finch Avenue from Dufferin Street Paramedics and firefighters attended at the scene and provided care to the injured parties The first police officer arrived on scene at about 4:52 a.m n,,https://www.siu.on.ca/en/directors_report_details.php?drid=769
,,Ajax,Ontario,n r\n The material events in question are apparent on the evidence collected by the SIU which included a statement from the WO the notes of the SO and interviews with the Complainant and his two sons The investigation also benefited from a review of the police communications recordings and a video recording of the incident captured by a police helicopter On October 11 2019 the WO and SO were dispatched to a residence on Conacher Crescent in Pickering following a 911 call from the home reporting that a man  the Complainant  was in possession of a knife possibly intoxicated and acting “stupid” Arriving at the address at about 8:35 p.m the WO and SO observed the Complainant standing at the top of the home’s driveway by the garage holding the knife The Complainant was agitated and appeared angry with his son – CW 1 – standing further down the driveway With his firearm drawn the WO made his way along the grass lining one side of the driveway toward the Complainant as the SO moved a step or two forward on the driveway with his CEW trained on the Complainant The WO repeatedly asked the Complainant to drop the knife but he failed to do so Less than 30 seconds following their arrival on the driveway the SO discharged his CEW at the Complainant The charge immobilized the Complainant who fell backward with the knife in hand Following several kicks of the Complainant’s right hand the WO was able to dislodge the knife The Complainant was turned onto his stomach and handcuffed n,,https://www.siu.on.ca/en/directors_report_details.php?drid=729
,Peel Regional Police,Brampton,Ontario,n r\n The material events are clear on the evidence collected by the SIU which included statements from the Complainant and WO 1 and WO 2 The investigation also benefitted from CCTV footage from security cameras that captured the Complainant’s arrest At about 12:30 a.m on October 11 2019 the PRP received a call about a break and enter in progress on the premises of 1740 Drew Road The SO WO 1 and WO 2 travelled in their cruisers to the area and located the Complainant running away from the address Observing WO 2’s cruiser ahead of him the Complainant turned back to run west away from the officer WO 2 exited his cruiser and chased after the Complainant on foot as WO 1 and the SO followed in their cruisers WO 1 overtook WO 2 as the Complainant turned left to run south down the alleyway between the buildings at 1740 and 1700 Drew Road WO 1 pulled up alongside the Complainant before stopping his cruiser and continuing the pursuit on foot with WO 2 behind him At about the same time the SO’s cruiser passed them in the alleyway and turned left into the path of the Complainant The Complainant ran into the driver’s side of the SO’s cruiser and stumbled momentarily before he regained his footing and continued running south He travelled a short distance further south before he was tackled from behind by WO 1 and handcuffed n,,https://www.siu.on.ca/en/directors_report_details.php?drid=739
,Ontario Provincial Police,Grey,Ontario,The Complainant was taken to hospital and treated for three gunshot wounds to his right arm,"Under section 25(1) of theCriminal Code, police officers are immune from criminal liability for force used in the course of their duties provided such force was reasonably necessary in the execution of an act that they were required or authorized to do. Where the force in question is intended or likely to cause death or grievous bodily harm, the immunity will not attach pursuant to section 25(3) unless the officer reasonably apprehends that it was necessary to use such force to preserve oneself or another under his or her protection from death or grievous bodily harm. At the outset, I note that there were, in my view, lawful grounds to arrest the Complainant based on offences he had committed in various Ontario jurisdictions.In his interview with theSIU, theSOexplained that he fired his weapon believing it was necessary to thwart an imminent risk of death or serious injury to him and his fellow officers from the continued operation of the Mercedes sedan. I have no reason to doubt that theSOwas honestly of that view at the time he resorted to gunfire. The real question revolves around the reasonableness of the officer’s belief. On this question, one looks to an objective assessment of the relevant circumstances at the time.By the time shots were fired, the Complainant had made it clear that he had no intention of surrendering peacefully. While some evidence suggests that the Complainant believed he was being accosted by a street gang, feared for his safety, and attempted to flee, I am unable to accept this evidence as revealing the Complainant’s true interpretation of events. Other evidence reveals that his passenger, similarly situated, was immediately aware of the fact that their vehicle was being surrounded by police officers. One can only conclude that the Complainant, fully cognizant of several police officers in the vicinity of the Mercedes sedan, had little qualms about placing their lives in danger as he repeatedly rammed the police truck in front of him in a frenzied effort to escape. And risk their lives, I am satisfied, he did. In fact, on one occasion when he rammed the Mercedes sedan into the police pickup in front of him, the force of the collision pushed the rear end of the truck into theSO’s left leg. In this regard, it is telling that other officers surrounding the Mercedes sedan as it repeatedly struck the truck in front of it also believed their lives and the lives of their colleagues were in peril. On this record, I am satisfied that theSO’s apprehension of the danger that existed and the necessity of a resort to lethal force were reasonable in the circumstances.It might be suggested that theSO, rather than remain in close proximity to the Mercedes sedan as it rammed the police truck in front of him, ought to have retreated to a position of cover. In hindsight, it might well be accurate to say that there were opportunities for the officer to distance himself from the immediate dangers being created by the Mercedes sedan. However, I am unable to fault theSOfor failing to do so in the heat of the moment. In the split seconds in which theSOwould have had to calculate his actions, he was faced with a full-sized sedan violently striking a police vehicle in front of him with the ever-present possibility that it might break free from the blockade and barrel down on him or other officers as it fled the scene. In the circumstances, I am unable to reasonably conclude that theSOacted without legal justification when he aimed and fired his firearm at the vehicle’s operating mind to stop it. Nor am I able to say that the five shots let off by the officer were excessive. Given the rapidity with which they were discharged over a brief moment in time, I am unable to discern any meaningful difference in the threat level that theSOwould have reasonably apprehended from shots one through five.In the result, as I am satisfied that theSO’s resort to lethal force meets the stringent test for legal justification, there is no basis for proceeding with charges in this case and the file is closed.Date:	May 11, 2020Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=759
,Ontario Provincial Police,Bayham,Ontario,He was later taken to hospital where he was diagnosed with having sustained two non-displaced fractures,,https://www.siu.on.ca/en/directors_report_details.php?drid=719
,Toronto Police Service,Milton,Ontario,Following her arrest the Complainant was transported to hospital where she was diagnosed with a fracture to her left ankle,,https://www.siu.on.ca/en/directors_report_details.php?drid=721
,North Bay Police Service,Nipissing,Ontario,The final autopsy report attributed the Complainant’s death to “drowning”,,https://www.siu.on.ca/en/directors_report_details.php?drid=791
,Guelph Police Service,Guelph,Ontario,Furthermore the witness observed the Complainant to receive her injury while she was assaulting her former partner possibly as a result of her own bracelet flying off her wrist and striking her in the face,,https://www.siu.on.ca/en/directors_report_details.php?drid=761
,Ontario Provincial Police,Ottawa,Ontario,n r\n The events in question surrounding the injuries sustained by the Complainants are apparent based on the information collected by the SIU which included statements provided by Complainant 1 and Complainant 2 and seven civilian and six police witnesses,,https://www.siu.on.ca/en/directors_report_details.php?drid=662
,Ontario Provincial Police,Kirkland Lake,Ontario,The truck driver – CW 2 – did not suffer any injuries,,https://www.siu.on.ca/en/directors_report_details.php?drid=717
,Ottawa Police Service,Elgin,Ontario,n r\n The material events in question are apparent on the weight of the evidence gathered by the SIU which included interviews with the Complainant and several witness officers who were present at the time of the arrest as well as a video recording that captured much of the Complainant’s arrest in the police station In the afternoon of September 23 2019 the Complainant was inside an interview room on the second floor of the station when he was asked to leave by the SO The officer had become incredulous of the Complainant’s purported involvement in an alleged homicide and wished to end their interaction The Complainant had arrived at the station looking to confess to a “murder” The Complainant refused to leave the interview room despite the SO’s repeated direction that he do so WO 2 arrived to assist the SO Her attempts to have the Complainant leave were similarly ineffective It was made clear that the Complainant would be arrested for trespassing if he persisted but still he did not leave The SO took hold of the Complainant’s jacket at which point the Complainant fell to the floor and struggled against the officers’ efforts to have him handcuffed WO 3 WO 4 and WO 5 joined in the struggle In the course of the altercation the SO delivered a single punch to the Complainant’s face following which the Complainant was handcuffed removed from the room and taken to the basement to be booked prior to being lodged in a cell n,,https://www.siu.on.ca/en/directors_report_details.php?drid=835
,Ontario Provincial Police,Cornwall,Ontario,n r\n The events in question are largely apparent on the weight of the evidence collected by the SIU which included interviews with the Complainant several WOs who participated in the operation culminating in the Complainant’s arrest and one of the two SOs – SO 2 As was his legal right SO 1 declined to interview with the SIU or authorize the release of his notes The investigation further benefitted from a review of data downloaded from a CEW discharged during the incident and video footage of parts of the arrest captured by a police drone Shortly after 11:00 a.m on September 23 2019 members of an OPP TRU team were mobilized to deal with a situation in the Town of Ingleside at an address on Dafoe Road Local OPP officers had earlier that morning attended at the address to arrest the Complainant for mischief to public property Upset at the township over a municipal grievance the Complainant had intentionally dug up the roadway in front of his home Greeted with profanity the sound of a shotgun being racked and a threat by the Complainant that he would not be taken alive the officers had left the property in the interests of everyone’s safety OPP Emergency Response Team officers were then deployed to surround and contain the property pending the arrival of the TRU Within an hour of being notified of the incident the TRU team were further advised that the Complainant was holed up in his residence with a gun and refusing to come out The OPP set up a command post near the intersection of Dafoe and Aultsville Roads From that location the TRU team commander and a couple of Critical Incident Commanders developed a plan whereby the TRU team would approach the property in an ARV first stopping to clear several outbuildings on the Complainant’s land before proceeding to the house Two snipers would also be set up in the outbuildings to monitor the Complainant’s movements in and out of the home reporting their intelligence to the other team members via radio SO 2 was the team leader With him were WO 6 – a dog handler with his dog WO 7 whose role it would be to discharge his CEW if necessary SO 1 tasked with wielding an ARWEN during the operation WO 3 responsible for operating the ARV and WO 5 and WO 4 Also in the ARV were trained crisis negotiators – WO 8 and WO 1 – and the PEW a tactical paramedic The outbuildings having been successfully cleared the ARV approached to within several metres of the front of the Complainant’s residence From that position with the use of the vehicle’s loudhailer WO 4 WO  8 and WO 1 the latter two in English and French repeatedly directed the Complainant to disarm himself and exit the home with his hands up Their entreaties were ignored as were WO 4’s efforts to attract the Complainant’s attention by periodically activating the vehicle’s emergency lights and siren One of the two snipers WO 2 reported that he could see the Complainant seated in the kitchen holding a long gun As the standoff continued the officers decided to deploy a throw phone next to the front door of the home in the hopes that the Complainant would collect the phone and use it to speak with police He did not A distractionary device was set off outside the home at about 3:22 p.m but it too failed to elicit a response from the Complainant At about 3:48 p.m with officers in and out of the ARV the Complainant emerged from the front of his home He was holding a loaded shotgun and walking toward the front of the ARV Multiple officers ordered the Complainant to drop his firearm and put his hands in the air to no effect As the Complainant continued forward SO 1 from a position in front of the Complainant fired his ARWEN multiple times The Complainant was struck dropped his shotgun and fell to the ground At SO 2’s direction WO 6 quickly released his dog who bit onto the Complainant’s lower right leg The Complainant kicked the dog away with his left foot and made it to his knees before his left arm area was bit by the dog The Complainant was on his knees with his torso bowed forward when WO 7 approached to within a metre or two of the Complainant and discharged his CEW into the Complainant’s back The Complainant immediately lunged forward onto his front but was not incapacitated He tucked his arms into his chest rolled quickly onto his back and then again onto his front his arms and legs moving throughout these movements WO 7 SO 1 WO 6 and WO 4 were surrounding the Complainant at this time standing over him The dog who had disengaged returned and bit into the right upper arm  shoulder area of the Complainant appearing to pull the Complainant a short distance on the ground The Complainant was temporarily back onto his knees before he appears to have been dragged back to the ground onto his right side by the dog shortly after which SO 1 from a kneeling position behind the Complainant on the ground delivered three punches to the Complainant’s back It was at this time that SO 2 arrived and entered the fray The Complainant’s upper body appeared to be prone on the ground and his arms close to his chest As SO 2 attempted to pry the Complainant’s left arm out from under him SO 1 punched the Complainant’s back a further four times The struggle persisted for a period in what was largely a wrestling match by this time punctuated some 25 and 38 seconds after the last of SO 1’s punches with two additional CEW discharges from WO 7’s weapon Shortly thereafter with WO 4’s help SO 2 managed to handcuff the Complainant.\n,,https://www.siu.on.ca/en/directors_report_details.php?drid=915
,Toronto Police Service,Grey,Ontario,The Complainant was injured in the collision having sustained a wrist fracture,,https://www.siu.on.ca/en/directors_report_details.php?drid=711
,Ottawa Police Service,Brockville,Ontario,The Complainant was taken to hospital where a CT scan revealed that he had sustained a comminuted fracture involving the wall of the left orbit,,https://www.siu.on.ca/en/directors_report_details.php?drid=749
,Ontario Provincial Police,King,Ontario,r\n\nCause of Death nOn September 19 2019 a forensic pathologist conducted the post-mortem examination on Complainant 1’s body and determined the cause of death as blunt trauma to torso,"In the final analysis, in the context of theSO’s extremely brief effort to perform a vehicle stop ofCW#1’s motor vehicle in order to investigate an infraction of theHTA, I have no reasonable grounds to believe that the officer either caused or contributed to the collision in question, or otherwise drove dangerously in violation of theCriminal Code.Date:	April 14, 2020Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=695
,Toronto Police Service,Toronto,Ontario,n r\n The following scenario emerges from the weight of the reliable evidence collected by the SIU At about 10:30 p.m on June 24 2019 the TPS received a call from York University requesting assistance with an ongoing altercation outside of Vari Hall The parties involved in the dispute were the Complainant and the CW After speaking with campus security and gathering information the officers decided to arrest the Complainant for having assaulted the CW The Complainant was taken into custody and lodged in the backseat of SO 1 and WO 2’s cruiser for transport to the station Once at the station the Complainant was escorted into the booking room to be paraded prior to being placed in a cell Because the Complainant was thought to have used a knife in the assault a strip search was ordered by the staff sergeant At about 11:42 p.m the Complainant was escorted into a small search room in the CIB area by several officers The Complainant resisted the officers’ efforts to search him and a struggle ensued in the course of which the Complainant was taken to the ground The subject officers wrestled with the Complainant and were soon able to subdue him whereupon the search was completed The Complainant was led from the search room to a cell where he was lodged until his departure from the station the following morning.\n,,https://www.siu.on.ca/en/directors_report_details.php?drid=809
,Ontario Provincial Police,Toronto,Ontario,n r\n Thanks to a video recording of the incident captured by a Highway 407 camera the material events in question are largely clear despite neither subject officer providing the SIU a statement as was their legal right In the evening on September 12 2019 several calls were received by the OPP from motorists reporting the Complainant’s presence on the metal gantry across the Highway 407 eastbound exit ramp leading to Highway 410 SO 1 was the first to arrive at the scene at about 7:45 p.m With his cruiser’s emergency lights flashing SO 1 parked his cruiser in the area below the Complainant At 7:47 p.m two other OPP cruisers managed to stop traffic through the area by positioning their vehicles under the Kennedy Road South overpass SO 2 arrived on scene at about 7:47:26 p.m and parked beside SO 1’s cruiser The two officers emerged simultaneously from their vehicles They had each taken a number of steps closer to the Complainant when the Complainant fell approximately six metres from the gantry above landing in front of the officers SO 1 continued toward the Complainant as SO 2 returned to his cruiser to report what had happened Paramedics attended the scene and transported the Complainant to hospital where he received emergency care r\n\r\n,,https://www.siu.on.ca/en/directors_report_details.php?drid=652
,Peel Regional Police,Mississauga,Ontario,Following his arrest the Complainant was taken from the scene in an ambulance to hospital where he was diagnosed with a number of facial fractures,,https://www.siu.on.ca/en/directors_report_details.php?drid=648
